iteam_id,name,title,short_title,manual_product_name,review,no_review,unit_cost,price,discount,offer_date
191474775,WD_BLACK SN850X NVMe M.2 2280 2TB,Western Digital BLACK SN850X NVMe M.2 2280 2TB PCI-Express 4.0 x4 Internal Solid State Drive (SSD) WDS200T2XHE,WD_BLACK SN850X NVMe WDS200T2XHE,Western Digital BLACK SN850X NVMe M.2 2280 2TB,5,180,389.99,249.99,140,
195708879,CORSAIR RMx Series (2021) RM850x 850 W Full Modular 80 PLUS GOLD Certified,CORSAIR RMx Series (2021) RM850x CP-9020200-NA 850 W Power Supply,CORSAIR RMx Series (2021) RM850x CP-9020200-NA 850 W ATX12V / EPS12V Power Supply,CORSAIR RMx Series (2021) RM850x 850 W Full Modular 80 PLUS GOLD Certified,5,397,184.99,167.98,25,
191474775,WD_BLACK SN850X NVMe M.2 2280 1TB,WD_BLACK SN850X NVMe M.2 2280 1TB PCI-Express 4.0 x4 Internal Solid State Drive (SSD) WDS100T2X0E,WD_BLACK SN850X NVMe WDS100T2X0E,Western Digital BLACK SN850X NVMe M.2 2280 1TB,5,180,209.99,139.99,70,
170971581,Lenovo New QT81 TWS Wireless Earphones HIFI Stereo Bluetooth Headphones Digital Display Touch Control Sports Earbuds Headset With 1200mAh Charging Case Mobile Power (Black),Lenovo New QT81 TWS Wireless Earphones HIFI Stereo Bluetooth Headphones Digital Display Touch Control Sports Earbuds Headset With 1200mAh Charging Case Mobile Power (Black),Lenovo New QT81 TWS Wireless Earphones HIFI Stereo Bluetooth Headphones Digital Display Touch Control Sports Earbuds Headset With 1200mAh Charging Case Mobile Power (Black),,0,0,26.99,26.99,0,
191474775,WD_BLACK SN850X NVMe M.2 2280 2TB,Western Digital BLACK SN850X NVMe M.2 2280 2TB PCI-Express 4.0 x4 Internal Solid State Drive (SSD) WDS200T2X0E,WD_BLACK SN850X NVMe WDS200T2X0E,Western Digital BLACK SN850X NVMe M.2 2280 2TB,5,180,359.99,219.99,140,
177187599,Western Digital BLACK SN770 NVMe M.2 2280 1TB,"Western Digital WD_BLACK SN770 M.2 2280 1TB PCIe Gen4 16GT/s, up to 4 Lanes Internal Solid State Drive (SSD) WDS100T3X0E",Western Digital BLACK SN770 NVMe WDS100T3X0E,Western Digital BLACK SN770 NVMe M.2 2280 1TB,5,119,159.99,86.98,75,
190726019,Gaming Laptop,"GIGABYTE AERO 16 XE5 - 16"" 4K/UHD+ AMOLED - Intel Core i7-12700H - NVIDIA GeForce RTX 3070 Ti Laptop GPU 8GB - 16GB DDR5 RAM - 1TB SSD - Win11 Home - Creator & Gaming Laptop (AERO 16 XE5-73US934HH)","GIGABYTE AERO 16 XE5-73US934HH 16.0"" Gaming Laptop",Gaming Laptop,4,77,3099.99,1949.99,1150,
181186939,Gaming Laptop,"MSI Katana GF76 11UD-602CA Gaming Laptop Intel Core i7-11800H 2.30 GHz 17.3"" Windows 11 Home 64-bit","MSI GF Series Katana GF76 11UD-602CA 17.3"" Gaming Laptop",Gaming Laptop,5,4,1699.99,1109.98,600,
173862714,SAMSUNG 980 PRO M.2 2280 2TB,"SAMSUNG 980 PRO M.2 2280 2TB PCIe Gen 4.0 x4, NVMe 1.3c Samsung V-NAND Internal Solid State Drive (SSD) MZ-V8P2T0B/AM",SAMSUNG 980 PRO MZ-V8P2T0B/AM,SAMSUNG 980 PRO M.2 2280 2TB,5,1447,329.99,219.99,110,
178405982,Non-contact Thermometer Forehead Infrared Electronic Thermometer Mini Household Handheld Electronic Thermometer for Adults and Kids (White),Non-contact Thermometer Forehead Infrared Electronic Thermometer Mini Household Handheld Electronic Thermometer for Adults and Kids (White),Non-contact Thermometer Forehead Infrared Electronic Thermometer Mini Household Handheld Electronic Thermometer for Adults and Kids (White),,5,6,15.99,15.99,0,
136664195,"SAMSUNG 870 EVO Series 2.5"" 1TB","SAMSUNG 870 EVO Series 2.5"" 1TB SATA III V-NAND Internal Solid State Drive (SSD) MZ-77E1T0B/AM",SAMSUNG 870 EVO Series MZ-77E1T0B/AM,"SAMSUNG 870 EVO Series 2.5"" 1TB",5,983,144.99,99.99,45,
